Produkti,KohaDites,Shitjet,Data
Lasko,Mbremje,49,1/11/2021
B52,Mengjes,42,1/11/2021
B52,Mesdite,5,1/11/2021
B52,Mbremje,50,1/11/2021
VIPA,Mengjes,50,1/11/2021
VIPA,Mesdite,13,1/11/2021
VIPA,Mbremje,38,1/11/2021
DR GERARD,Mengjes,25,1/11/2021
DR GERARD,Mesdite,3,1/11/2021
DR GERARD,Mbremje,39,1/11/2021
BRAVO,Mengjes,43,1/11/2021
BRAVO,Mesdite,44,1/11/2021
BRAVO,Mbremje,49,1/11/2021
JANA,Mengjes,24,1/11/2021
JANA,Mesdite,25,1/11/2021
JANA,Mbremje,17,1/11/2021
UJE RUGOVE,Mengjes,24,1/11/2021
UJE RUGOVE,Mesdite,14,1/11/2021
UJE RUGOVE,Mbremje,41,1/11/2021
UJE SPRING,Mengjes,50,1/11/2021
UJE SPRING,Mesdite,23,1/11/2021
UJE SPRING,Mbremje,50,1/11/2021
Golden Eagle,Mengjes,9,1/12/2021
Golden Eagle,Mesdite,37,1/12/2021
Golden Eagle,Mbremje,36,1/12/2021
Birra Peja,Mengjes,37,1/12/2021
Birra Peja,Mesdite,45,1/12/2021
Birra Peja,Mbremje,50,1/12/2021
Lasko,Mengjes,29,1/12/2021
Lasko,Mesdite,43,1/12/2021
Lasko,Mbremje,10,1/12/2021
B52,Mengjes,24,1/12/2021
B52,Mesdite,10,1/12/2021
B52,Mbremje,37,1/12/2021
VIPA,Mengjes,30,1/12/2021
VIPA,Mesdite,40,1/12/2021
VIPA,Mbremje,33,1/12/2021
DR GERARD,Mengjes,13,1/12/2021
DR GERARD,Mesdite,45,1/12/2021
DR GERARD,Mbremje,41,1/12/2021
BRAVO,Mengjes,2,1/12/2021
BRAVO,Mesdite,33,1/12/2021
BRAVO,Mbremje,16,1/12/2021
JANA,Mengjes,33,1/12/2021
JANA,Mesdite,50,1/12/2021
JANA,Mbremje,11,1/12/2021
UJE RUGOVE,Mengjes,41,1/12/2021
UJE RUGOVE,Mesdite,28,1/12/2021
UJE RUGOVE,Mbremje,36,1/12/2021
UJE SPRING,Mengjes,43,1/12/2021
UJE SPRING,Mesdite,43,1/12/2021
UJE SPRING,Mbremje,12,1/12/2021
Golden Eagle,Mengjes,17,1/13/2021
Golden Eagle,Mesdite,12,1/13/2021
Golden Eagle,Mbremje,39,1/13/2021
Birra Peja,Mengjes,17,1/13/2021
Birra Peja,Mesdite,3,1/13/2021
Birra Peja,Mbremje,3,1/13/2021
Lasko,Mengjes,5,1/13/2021
Lasko,Mesdite,50,1/13/2021
Lasko,Mbremje,44,1/13/2021
B52,Mengjes,24,1/13/2021
B52,Mesdite,12,1/13/2021
B52,Mbremje,7,1/13/2021
VIPA,Mengjes,25,1/13/2021
VIPA,Mesdite,34,1/13/2021
VIPA,Mbremje,12,1/13/2021
DR GERARD,Mengjes,14,1/13/2021
DR GERARD,Mesdite,34,1/13/2021
DR GERARD,Mbremje,45,1/13/2021
BRAVO,Mengjes,44,1/13/2021
BRAVO,Mesdite,22,1/13/2021
BRAVO,Mbremje,50,1/13/2021
JANA,Mengjes,1,1/13/2021
JANA,Mesdite,11,1/13/2021
JANA,Mbremje,24,1/13/2021
UJE RUGOVE,Mengjes,28,1/13/2021
UJE RUGOVE,Mesdite,7,1/13/2021
UJE RUGOVE,Mbremje,5,1/13/2021
UJE SPRING,Mengjes,48,1/13/2021
UJE SPRING,Mesdite,16,1/13/2021
UJE SPRING,Mbremje,29,1/13/2021
Golden Eagle,Mengjes,50,1/14/2021
Golden Eagle,Mesdite,12,1/14/2021
Golden Eagle,Mbremje,10,1/14/2021
Birra Peja,Mengjes,22,1/14/2021
Birra Peja,Mesdite,9,1/14/2021
Birra Peja,Mbremje,41,1/14/2021
Lasko,Mengjes,43,1/14/2021
Lasko,Mesdite,17,1/14/2021
Lasko,Mbremje,32,1/14/2021
B52,Mengjes,14,1/14/2021
B52,Mesdite,21,1/14/2021
B52,Mbremje,41,1/14/2021
VIPA,Mengjes,13,1/14/2021
VIPA,Mesdite,13,1/14/2021
VIPA,Mbremje,9,1/14/2021
DR GERARD,Mengjes,19,1/14/2021
DR GERARD,Mesdite,18,1/14/2021
DR GERARD,Mbremje,37,1/14/2021
BRAVO,Mengjes,22,1/14/2021
BRAVO,Mesdite,46,1/14/2021
BRAVO,Mbremje,38,1/14/2021
JANA,Mengjes,6,1/14/2021
JANA,Mesdite,3,1/14/2021
JANA,Mbremje,48,1/14/2021
UJE RUGOVE,Mengjes,44,1/14/2021
UJE RUGOVE,Mesdite,44,1/14/2021
UJE RUGOVE,Mbremje,14,1/14/2021
UJE SPRING,Mengjes,12,1/14/2021
UJE SPRING,Mesdite,39,1/14/2021
UJE SPRING,Mbremje,5,1/14/2021
Golden Eagle,Mengjes,14,1/15/2021
Golden Eagle,Mesdite,37,1/15/2021
Golden Eagle,Mbremje,28,1/15/2021
Birra Peja,Mengjes,48,1/15/2021
Birra Peja,Mesdite,28,1/15/2021
Birra Peja,Mbremje,21,1/15/2021
Lasko,Mengjes,9,1/15/2021
Lasko,Mesdite,16,1/15/2021
Lasko,Mbremje,50,1/15/2021
B52,Mengjes,17,1/15/2021
B52,Mesdite,42,1/15/2021
B52,Mbremje,5,1/15/2021
VIPA,Mengjes,13,1/15/2021
VIPA,Mesdite,4,1/15/2021
VIPA,Mbremje,27,1/15/2021
DR GERARD,Mengjes,11,1/15/2021
DR GERARD,Mesdite,19,1/15/2021
DR GERARD,Mbremje,4,1/15/2021
BRAVO,Mengjes,30,1/15/2021
BRAVO,Mesdite,37,1/15/2021
BRAVO,Mbremje,38,1/15/2021
JANA,Mengjes,25,1/15/2021
JANA,Mesdite,50,1/15/2021
JANA,Mbremje,9,1/15/2021
UJE RUGOVE,Mengjes,49,1/15/2021
UJE RUGOVE,Mesdite,41,1/15/2021
UJE RUGOVE,Mbremje,7,1/15/2021
UJE SPRING,Mengjes,8,1/15/2021
UJE SPRING,Mesdite,38,1/15/2021
UJE SPRING,Mbremje,31,1/15/2021
Golden Eagle,Mengjes,5,1/16/2021
Golden Eagle,Mesdite,35,1/16/2021
Golden Eagle,Mbremje,11,1/16/2021
Birra Peja,Mengjes,39,1/16/2021
Birra Peja,Mesdite,50,1/16/2021
Birra Peja,Mbremje,14,1/16/2021
Lasko,Mengjes,45,1/16/2021
Lasko,Mesdite,37,1/16/2021
Lasko,Mbremje,43,1/16/2021
B52,Mengjes,9,1/16/2021
B52,Mesdite,4,1/16/2021
B52,Mbremje,15,1/16/2021
VIPA,Mengjes,42,1/16/2021
VIPA,Mesdite,8,1/16/2021
VIPA,Mbremje,31,1/16/2021
DR GERARD,Mengjes,8,1/16/2021
DR GERARD,Mesdite,28,1/16/2021
DR GERARD,Mbremje,38,1/16/2021
BRAVO,Mengjes,12,1/16/2021
BRAVO,Mesdite,17,1/16/2021
BRAVO,Mbremje,10,1/16/2021
JANA,Mengjes,1,1/16/2021
JANA,Mesdite,41,1/16/2021
JANA,Mbremje,39,1/16/2021
UJE RUGOVE,Mengjes,12,1/16/2021
UJE RUGOVE,Mesdite,11,1/16/2021
UJE RUGOVE,Mbremje,25,1/16/2021
UJE SPRING,Mengjes,46,1/16/2021
UJE SPRING,Mesdite,24,1/16/2021
UJE SPRING,Mbremje,43,1/16/2021
Golden Eagle,Mengjes,20,1/17/2021
Golden Eagle,Mesdite,10,1/17/2021
Golden Eagle,Mbremje,5,1/17/2021
Birra Peja,Mengjes,6,1/17/2021
Birra Peja,Mesdite,27,1/17/2021
Birra Peja,Mbremje,29,1/17/2021
Lasko,Mengjes,30,1/17/2021
Lasko,Mesdite,36,1/17/2021
Lasko,Mbremje,11,1/17/2021
B52,Mengjes,43,1/17/2021
B52,Mesdite,7,1/17/2021
B52,Mbremje,47,1/17/2021
VIPA,Mengjes,18,1/17/2021
VIPA,Mesdite,41,1/17/2021
VIPA,Mbremje,18,1/17/2021
DR GERARD,Mengjes,49,1/17/2021
DR GERARD,Mesdite,30,1/17/2021
DR GERARD,Mbremje,16,1/17/2021
BRAVO,Mengjes,7,1/17/2021
BRAVO,Mesdite,36,1/17/2021
BRAVO,Mbremje,41,1/17/2021
JANA,Mengjes,50,1/17/2021
JANA,Mesdite,40,1/17/2021
JANA,Mbremje,24,1/17/2021
UJE RUGOVE,Mengjes,22,1/17/2021
UJE RUGOVE,Mesdite,22,1/17/2021
UJE RUGOVE,Mbremje,45,1/17/2021
UJE SPRING,Mengjes,18,1/17/2021
UJE SPRING,Mesdite,43,1/17/2021
UJE SPRING,Mbremje,34,1/17/2021
Golden Eagle,Mengjes,21,1/18/2021
Golden Eagle,Mesdite,50,1/18/2021
Golden Eagle,Mbremje,7,1/18/2021
Birra Peja,Mengjes,50,1/18/2021
Birra Peja,Mesdite,2,1/18/2021
Birra Peja,Mbremje,39,1/18/2021
Lasko,Mengjes,19,1/18/2021
Lasko,Mesdite,37,1/18/2021
Lasko,Mbremje,26,1/18/2021
B52,Mengjes,44,1/18/2021
B52,Mesdite,24,1/18/2021
B52,Mbremje,29,1/18/2021
VIPA,Mengjes,38,1/18/2021
VIPA,Mesdite,44,1/18/2021
VIPA,Mbremje,22,1/18/2021
DR GERARD,Mengjes,33,1/18/2021
DR GERARD,Mesdite,23,1/18/2021
DR GERARD,Mbremje,12,1/18/2021
BRAVO,Mengjes,9,1/18/2021
BRAVO,Mesdite,31,1/18/2021
BRAVO,Mbremje,1,1/18/2021
JANA,Mengjes,33,1/18/2021
JANA,Mesdite,14,1/18/2021
JANA,Mbremje,38,1/18/2021
UJE RUGOVE,Mengjes,5,1/18/2021
UJE RUGOVE,Mesdite,50,1/18/2021
UJE RUGOVE,Mbremje,31,1/18/2021
UJE SPRING,Mengjes,46,1/18/2021
UJE SPRING,Mesdite,36,1/18/2021
UJE SPRING,Mbremje,10,1/18/2021
Golden Eagle,Mengjes,28,1/19/2021
Golden Eagle,Mesdite,22,1/19/2021
Golden Eagle,Mbremje,12,1/19/2021
Birra Peja,Mengjes,32,1/19/2021
Birra Peja,Mesdite,24,1/19/2021
Birra Peja,Mbremje,13,1/19/2021
Lasko,Mengjes,25,1/19/2021
Lasko,Mesdite,11,1/19/2021
Lasko,Mbremje,35,1/19/2021
B52,Mengjes,3,1/19/2021
B52,Mesdite,13,1/19/2021
B52,Mbremje,38,1/19/2021
VIPA,Mengjes,14,1/19/2021
VIPA,Mesdite,41,1/19/2021
VIPA,Mbremje,32,1/19/2021
DR GERARD,Mengjes,7,1/19/2021
DR GERARD,Mesdite,12,1/19/2021
DR GERARD,Mbremje,47,1/19/2021
BRAVO,Mengjes,5,1/19/2021
BRAVO,Mesdite,33,1/19/2021
BRAVO,Mbremje,26,1/19/2021
JANA,Mengjes,5,1/19/2021
JANA,Mesdite,48,1/19/2021
JANA,Mbremje,31,1/19/2021
UJE RUGOVE,Mengjes,25,1/19/2021
UJE RUGOVE,Mesdite,46,1/19/2021
UJE RUGOVE,Mbremje,50,1/19/2021
UJE SPRING,Mengjes,27,1/19/2021
UJE SPRING,Mesdite,42,1/19/2021
UJE SPRING,Mbremje,22,1/19/2021
Golden Eagle,Mengjes,13,1/20/2021
Golden Eagle,Mesdite,39,1/20/2021
Golden Eagle,Mbremje,6,1/20/2021
Birra Peja,Mengjes,5,1/20/2021
Birra Peja,Mesdite,4,1/20/2021
Birra Peja,Mbremje,36,1/20/2021
Lasko,Mengjes,12,1/20/2021
Lasko,Mesdite,43,1/20/2021
Lasko,Mbremje,11,1/20/2021
B52,Mengjes,50,1/20/2021
B52,Mesdite,13,1/20/2021
B52,Mbremje,15,1/20/2021
VIPA,Mengjes,22,1/20/2021
VIPA,Mesdite,34,1/20/2021
VIPA,Mbremje,18,1/20/2021
DR GERARD,Mengjes,18,1/20/2021
DR GERARD,Mesdite,29,1/20/2021
DR GERARD,Mbremje,27,1/20/2021
BRAVO,Mengjes,34,1/20/2021
BRAVO,Mesdite,37,1/20/2021
BRAVO,Mbremje,25,1/20/2021
JANA,Mengjes,21,1/20/2021
JANA,Mesdite,17,1/20/2021
JANA,Mbremje,35,1/20/2021
UJE RUGOVE,Mengjes,4,1/20/2021
UJE RUGOVE,Mesdite,8,1/20/2021
UJE RUGOVE,Mbremje,19,1/20/2021
UJE SPRING,Mengjes,35,1/20/2021
UJE SPRING,Mesdite,37,1/20/2021
UJE SPRING,Mbremje,5,1/20/2021
Golden Eagle,Mengjes,42,1/21/2021
Golden Eagle,Mesdite,22,1/21/2021
Golden Eagle,Mbremje,47,1/21/2021
Birra Peja,Mengjes,7,1/21/2021
Birra Peja,Mesdite,22,1/21/2021
Birra Peja,Mbremje,22,1/21/2021
Lasko,Mengjes,7,1/21/2021
Lasko,Mesdite,4,1/21/2021
Lasko,Mbremje,40,1/21/2021
B52,Mengjes,40,1/21/2021
B52,Mesdite,18,1/21/2021
B52,Mbremje,17,1/21/2021
VIPA,Mengjes,48,1/21/2021
VIPA,Mesdite,27,1/21/2021
VIPA,Mbremje,17,1/21/2021
DR GERARD,Mengjes,12,1/21/2021
DR GERARD,Mesdite,42,1/21/2021
DR GERARD,Mbremje,3,1/21/2021
BRAVO,Mengjes,38,1/21/2021
BRAVO,Mesdite,14,1/21/2021
BRAVO,Mbremje,50,1/21/2021
JANA,Mengjes,14,1/21/2021
JANA,Mesdite,15,1/21/2021
JANA,Mbremje,23,1/21/2021
UJE RUGOVE,Mengjes,20,1/21/2021
UJE RUGOVE,Mesdite,47,1/21/2021
UJE RUGOVE,Mbremje,22,1/21/2021
UJE SPRING,Mengjes,26,1/21/2021
UJE SPRING,Mesdite,1,1/21/2021
UJE SPRING,Mbremje,23,1/21/2021
Golden Eagle,Mengjes,20,1/22/2021
Golden Eagle,Mesdite,28,1/22/2021
Golden Eagle,Mbremje,9,1/22/2021
Birra Peja,Mengjes,38,1/22/2021
Birra Peja,Mesdite,46,1/22/2021
Birra Peja,Mbremje,14,1/22/2021
Lasko,Mengjes,7,1/22/2021
Lasko,Mesdite,28,1/22/2021
Lasko,Mbremje,16,1/22/2021
B52,Mengjes,6,1/22/2021
B52,Mesdite,27,1/22/2021
B52,Mbremje,32,1/22/2021
VIPA,Mengjes,33,1/22/2021
VIPA,Mesdite,49,1/22/2021
VIPA,Mbremje,21,1/22/2021
DR GERARD,Mengjes,20,1/22/2021
DR GERARD,Mesdite,26,1/22/2021
DR GERARD,Mbremje,26,1/22/2021
BRAVO,Mengjes,7,1/22/2021
BRAVO,Mesdite,38,1/22/2021
BRAVO,Mbremje,16,1/22/2021
JANA,Mengjes,26,1/22/2021
JANA,Mesdite,22,1/22/2021
JANA,Mbremje,18,1/22/2021
UJE RUGOVE,Mengjes,36,1/22/2021
