Produkti,KohaDites,Shitjet,Data
PATOS,Mengjes,35,51:06.8
PATOS,Mesdite,32,51:06.8
PATOS,Mbremje,32,5/5/2023
DORITOS,Mengjes,41,51:06.8
DORITOS,Mesdite,47,51:06.8
DORITOS,Mbremje,7,51:06.8
JANA,Mengjes,14,51:06.8
JANA,Mesdite,24,51:06.8
JANA,Mbremje,43,51:06.8
SKOPSKO,Mengjes,50,51:06.8
SKOPSKO,Mesdite,44,51:06.8
SKOPSKO,Mbremje,22,51:06.8
Golden Eagle,Mengjes,35,51:06.8
Golden Eagle,Mesdite,41,51:06.8
Golden Eagle,Mbremje,5,51:06.8
Birra Peja,Mengjes,26,51:06.8
Birra Peja,Mesdite,11,51:06.8
Birra Peja,Mbremje,23,51:06.8
Lasko,Mengjes,30,51:06.8
Lasko,Mesdite,32,51:06.8
Lasko,Mbremje,48,51:06.8
B52,Mengjes,19,51:06.8
B52,Mesdite,7,51:06.8
B52,Mbremje,3,51:06.8
VIPA,Mengjes,40,51:06.8
VIPA,Mesdite,10,51:06.8
VIPA,Mbremje,28,51:06.8
DR GERARD,Mengjes,19,51:06.8
DR GERARD,Mesdite,4,51:06.8
DR GERARD,Mbremje,20,51:06.8
PATOS,Mengjes,4,51:06.8
PATOS,Mesdite,43,51:06.8
PATOS,Mbremje,4,51:06.8
DORITOS,Mengjes,8,51:06.8
DORITOS,Mesdite,35,51:06.8
DORITOS,Mbremje,24,51:06.8
JANA,Mengjes,6,51:06.8
JANA,Mesdite,13,51:06.8
JANA,Mbremje,43,51:06.8
SKOPSKO,Mengjes,18,51:06.8
SKOPSKO,Mesdite,49,51:06.8
SKOPSKO,Mbremje,33,51:06.8
Golden Eagle,Mengjes,23,51:06.8
Golden Eagle,Mesdite,44,51:06.8
Golden Eagle,Mbremje,9,51:06.8
Birra Peja,Mengjes,43,51:06.8
Birra Peja,Mesdite,17,51:06.8
Birra Peja,Mbremje,32,51:06.8
Lasko,Mengjes,6,51:06.8
Lasko,Mesdite,15,51:06.8
Lasko,Mbremje,31,51:06.8
B52,Mengjes,38,51:06.8
B52,Mesdite,18,51:06.8
B52,Mbremje,24,51:06.8
VIPA,Mengjes,20,51:06.8
VIPA,Mesdite,22,51:06.8
VIPA,Mbremje,15,51:06.8
DR GERARD,Mengjes,44,51:06.8
DR GERARD,Mesdite,18,51:06.8
DR GERARD,Mbremje,21,51:06.8
PATOS,Mengjes,26,51:06.8
PATOS,Mesdite,47,51:06.8
PATOS,Mbremje,19,51:06.8
DORITOS,Mengjes,36,51:06.8
DORITOS,Mesdite,4,51:06.8
DORITOS,Mbremje,48,51:06.8
JANA,Mengjes,32,51:06.8
JANA,Mesdite,1,51:06.8
JANA,Mbremje,50,51:06.8
SKOPSKO,Mengjes,43,51:06.8
SKOPSKO,Mesdite,40,51:06.8
SKOPSKO,Mbremje,23,51:06.8
Golden Eagle,Mengjes,22,51:06.8
Golden Eagle,Mesdite,17,51:06.8
Golden Eagle,Mbremje,35,51:06.8
Birra Peja,Mengjes,48,51:06.8
Birra Peja,Mesdite,6,51:06.8
Birra Peja,Mbremje,14,51:06.8
Lasko,Mengjes,38,51:06.8
Lasko,Mesdite,18,51:06.8
Lasko,Mbremje,29,51:06.8
B52,Mengjes,30,51:06.8
B52,Mesdite,8,51:06.8
B52,Mbremje,32,51:06.8
VIPA,Mengjes,35,51:06.8
VIPA,Mesdite,13,51:06.8
VIPA,Mbremje,46,51:06.8
DR GERARD,Mengjes,33,51:06.8
DR GERARD,Mesdite,48,51:06.8
DR GERARD,Mbremje,26,51:06.8
PATOS,Mengjes,1,51:06.8
PATOS,Mesdite,50,51:06.8
PATOS,Mbremje,15,51:06.8
DORITOS,Mengjes,34,51:06.8
DORITOS,Mesdite,43,51:06.8
DORITOS,Mbremje,13,51:06.8
JANA,Mengjes,45,51:06.8
JANA,Mesdite,19,51:06.8
JANA,Mbremje,36,51:06.8
SKOPSKO,Mengjes,23,51:06.8
SKOPSKO,Mesdite,50,51:06.8
SKOPSKO,Mbremje,38,51:06.8
Golden Eagle,Mengjes,18,51:06.8
Golden Eagle,Mesdite,27,51:06.8
Golden Eagle,Mbremje,16,51:06.8
Birra Peja,Mengjes,49,51:06.8
Birra Peja,Mesdite,7,51:06.8
Birra Peja,Mbremje,11,51:06.8
Lasko,Mengjes,10,51:06.8
Lasko,Mesdite,32,51:06.8
Lasko,Mbremje,11,51:06.8
B52,Mengjes,8,51:06.8
B52,Mesdite,17,51:06.8
B52,Mbremje,38,51:06.8
VIPA,Mengjes,50,51:06.8
VIPA,Mesdite,34,51:06.8
VIPA,Mbremje,25,51:06.8
DR GERARD,Mengjes,5,51:06.8
DR GERARD,Mesdite,38,51:06.8
DR GERARD,Mbremje,9,51:06.8
PATOS,Mengjes,13,51:06.8
PATOS,Mesdite,35,51:06.8
PATOS,Mbremje,14,51:06.8
DORITOS,Mengjes,4,51:06.8
DORITOS,Mesdite,33,51:06.8
DORITOS,Mbremje,3,51:06.8
JANA,Mengjes,39,51:06.8
JANA,Mesdite,24,51:06.8
JANA,Mbremje,12,51:06.8
SKOPSKO,Mengjes,37,51:06.8
SKOPSKO,Mesdite,10,51:06.8
SKOPSKO,Mbremje,48,51:06.8
Golden Eagle,Mengjes,21,51:06.8
Golden Eagle,Mesdite,46,51:06.8
Golden Eagle,Mbremje,37,51:06.8
Birra Peja,Mengjes,45,51:06.8
Birra Peja,Mesdite,40,51:06.8
Birra Peja,Mbremje,31,51:06.8
Lasko,Mengjes,6,51:06.8
Lasko,Mesdite,41,51:06.8
Lasko,Mbremje,28,51:06.8
B52,Mengjes,23,51:06.8
B52,Mesdite,32,51:06.8
B52,Mbremje,1,51:06.8
VIPA,Mengjes,34,51:06.8
VIPA,Mesdite,16,51:06.8
VIPA,Mbremje,15,51:06.8
DR GERARD,Mengjes,22,51:06.8
DR GERARD,Mesdite,15,51:06.8
DR GERARD,Mbremje,39,51:06.8
PATOS,Mengjes,45,51:06.8
PATOS,Mesdite,11,51:06.8
PATOS,Mbremje,1,51:06.8
DORITOS,Mengjes,50,51:06.8
DORITOS,Mesdite,38,51:06.8
DORITOS,Mbremje,44,51:06.8
JANA,Mengjes,11,51:06.8
JANA,Mesdite,24,51:06.8
JANA,Mbremje,30,51:06.8
SKOPSKO,Mengjes,41,51:06.8
SKOPSKO,Mesdite,47,51:06.8
SKOPSKO,Mbremje,9,51:06.8
Golden Eagle,Mengjes,11,51:06.8
Golden Eagle,Mesdite,26,51:06.8
Golden Eagle,Mbremje,42,51:06.8
Birra Peja,Mengjes,29,51:06.8
Birra Peja,Mesdite,3,51:06.8
Birra Peja,Mbremje,27,51:06.8
Lasko,Mengjes,1,51:06.8
Lasko,Mesdite,42,51:06.8
Lasko,Mbremje,2,51:06.8
B52,Mengjes,19,51:06.8
B52,Mesdite,39,51:06.8
B52,Mbremje,17,51:06.8
VIPA,Mengjes,47,51:06.8
VIPA,Mesdite,29,51:06.8
VIPA,Mbremje,38,51:06.8
DR GERARD,Mengjes,34,51:06.8
DR GERARD,Mesdite,35,51:06.8
DR GERARD,Mbremje,50,51:06.8
PATOS,Mengjes,12,51:06.8
PATOS,Mesdite,28,51:06.8
PATOS,Mbremje,47,51:06.8
DORITOS,Mengjes,49,51:06.8
DORITOS,Mesdite,11,51:06.8
DORITOS,Mbremje,5,51:06.8
JANA,Mengjes,7,51:06.8
JANA,Mesdite,14,51:06.8
JANA,Mbremje,18,51:06.8
SKOPSKO,Mengjes,27,51:06.8
SKOPSKO,Mesdite,14,51:06.8
SKOPSKO,Mbremje,36,51:06.8
Golden Eagle,Mengjes,19,51:06.8
Golden Eagle,Mesdite,31,51:06.8
Golden Eagle,Mbremje,47,51:06.8
Birra Peja,Mengjes,45,51:06.8
Birra Peja,Mesdite,10,51:06.8
Birra Peja,Mbremje,46,51:06.8
Lasko,Mengjes,28,51:06.8
Lasko,Mesdite,20,51:06.8
Lasko,Mbremje,44,51:06.8
B52,Mengjes,6,51:06.8
B52,Mesdite,14,51:06.8
B52,Mbremje,47,51:06.8
VIPA,Mengjes,42,51:06.8
VIPA,Mesdite,28,51:06.8
VIPA,Mbremje,4,51:06.8
DR GERARD,Mengjes,4,51:06.8
DR GERARD,Mesdite,39,51:06.8
DR GERARD,Mbremje,20,51:06.8
PATOS,Mengjes,21,51:06.8
PATOS,Mesdite,24,51:06.8
PATOS,Mbremje,28,51:06.8
DORITOS,Mengjes,3,51:06.8
DORITOS,Mesdite,50,51:06.8
DORITOS,Mbremje,10,51:06.8
JANA,Mengjes,32,51:06.8
JANA,Mesdite,17,51:06.8
JANA,Mbremje,40,51:06.8
SKOPSKO,Mengjes,23,51:06.8
SKOPSKO,Mesdite,46,51:06.8
SKOPSKO,Mbremje,40,51:06.8
Golden Eagle,Mengjes,8,51:06.8
Golden Eagle,Mesdite,24,51:06.8
Golden Eagle,Mbremje,31,51:06.8
Birra Peja,Mengjes,17,51:06.8
Birra Peja,Mesdite,23,51:06.8
Birra Peja,Mbremje,31,51:06.8
Lasko,Mengjes,2,51:06.8
Lasko,Mesdite,22,51:06.8
Lasko,Mbremje,40,51:06.8
B52,Mengjes,13,51:06.8
B52,Mesdite,14,51:06.8
B52,Mbremje,34,51:06.8
VIPA,Mengjes,38,51:06.8
VIPA,Mesdite,15,51:06.8
VIPA,Mbremje,44,51:06.8
DR GERARD,Mengjes,27,51:06.8
DR GERARD,Mesdite,44,51:06.8
DR GERARD,Mbremje,26,51:06.8
PATOS,Mengjes,5,51:06.8
PATOS,Mesdite,20,51:06.8
PATOS,Mbremje,37,51:06.8
DORITOS,Mengjes,43,51:06.8
DORITOS,Mesdite,24,51:06.8
DORITOS,Mbremje,31,51:06.8
JANA,Mengjes,1,51:06.8
JANA,Mesdite,30,51:06.8
JANA,Mbremje,29,51:06.8
SKOPSKO,Mengjes,15,51:06.8
SKOPSKO,Mesdite,9,51:06.8
SKOPSKO,Mbremje,15,51:06.8
Golden Eagle,Mengjes,40,51:06.8
Golden Eagle,Mesdite,14,51:06.8
Golden Eagle,Mbremje,42,51:06.8
Birra Peja,Mengjes,43,51:06.8
Birra Peja,Mesdite,18,51:06.8
Birra Peja,Mbremje,12,51:06.8
Lasko,Mengjes,19,51:06.8
Lasko,Mesdite,11,51:06.8
Lasko,Mbremje,50,51:06.8
B52,Mengjes,40,51:06.8
B52,Mesdite,5,51:06.8
B52,Mbremje,24,51:06.8
VIPA,Mengjes,14,51:06.8
VIPA,Mesdite,7,51:06.8
VIPA,Mbremje,23,51:06.8
DR GERARD,Mengjes,33,51:06.8
DR GERARD,Mesdite,11,51:06.8
DR GERARD,Mbremje,44,51:06.8
PATOS,Mengjes,31,51:06.8
PATOS,Mesdite,45,51:06.8
PATOS,Mbremje,50,51:06.8
DORITOS,Mengjes,9,51:06.8
DORITOS,Mesdite,2,51:06.8
DORITOS,Mbremje,29,51:06.8
JANA,Mengjes,27,51:06.8
JANA,Mesdite,25,51:06.8
JANA,Mbremje,11,51:06.8
SKOPSKO,Mengjes,26,51:06.8
SKOPSKO,Mesdite,21,51:06.8
SKOPSKO,Mbremje,26,51:06.8
Golden Eagle,Mengjes,26,51:06.8
Golden Eagle,Mesdite,4,51:06.8
Golden Eagle,Mbremje,39,51:06.8
Birra Peja,Mengjes,7,51:06.8
Birra Peja,Mesdite,2,51:06.8
Birra Peja,Mbremje,23,51:06.8
Lasko,Mengjes,8,51:06.8
Lasko,Mesdite,40,51:06.8
Lasko,Mbremje,7,51:06.8
B52,Mengjes,4,51:06.8
B52,Mesdite,26,51:06.8
B52,Mbremje,33,51:06.8
VIPA,Mengjes,49,51:06.8
VIPA,Mesdite,31,51:06.8
VIPA,Mbremje,7,51:06.8
DR GERARD,Mengjes,34,51:06.8
DR GERARD,Mesdite,12,51:06.8
DR GERARD,Mbremje,34,51:06.8
PATOS,Mengjes,49,51:06.8
PATOS,Mesdite,29,51:06.8
PATOS,Mbremje,40,51:06.8
DORITOS,Mengjes,15,51:06.8
DORITOS,Mesdite,15,51:06.8
DORITOS,Mbremje,38,51:06.8
JANA,Mengjes,28,51:06.8
JANA,Mesdite,28,51:06.8
JANA,Mbremje,22,51:06.8
SKOPSKO,Mengjes,32,51:06.8
SKOPSKO,Mesdite,45,51:06.8
SKOPSKO,Mbremje,11,51:06.8
Golden Eagle,Mengjes,41,51:06.8
Golden Eagle,Mesdite,17,51:06.8
Golden Eagle,Mbremje,41,51:06.8
Birra Peja,Mengjes,32,51:06.8
Birra Peja,Mesdite,34,51:06.8
Birra Peja,Mbremje,21,51:06.8
Lasko,Mengjes,16,51:06.8
Lasko,Mesdite,26,51:06.8
Lasko,Mbremje,41,51:06.8
B52,Mengjes,9,51:06.8
B52,Mesdite,33,51:06.8
B52,Mbremje,30,51:06.8
VIPA,Mengjes,30,51:06.8
VIPA,Mesdite,17,51:06.8
VIPA,Mbremje,25,51:06.8
DR GERARD,Mengjes,23,51:06.8
DR GERARD,Mesdite,42,51:06.8
DR GERARD,Mbremje,36,51:06.8
PATOS,Mengjes,48,51:06.8
PATOS,Mesdite,45,51:06.8
PATOS,Mbremje,14,51:06.8
DORITOS,Mengjes,39,51:06.8
DORITOS,Mesdite,1,51:06.8
DORITOS,Mbremje,49,51:06.8
JANA,Mengjes,33,51:06.8
JANA,Mesdite,12,51:06.8
JANA,Mbremje,34,51:06.8
SKOPSKO,Mengjes,29,51:06.8
SKOPSKO,Mesdite,14,51:06.8
SKOPSKO,Mbremje,4,51:06.8
Golden Eagle,Mengjes,46,51:06.8
Golden Eagle,Mesdite,9,51:06.8
Golden Eagle,Mbremje,7,51:06.8
Birra Peja,Mengjes,39,51:06.8
Birra Peja,Mesdite,31,51:06.8
Birra Peja,Mbremje,2,51:06.8
Lasko,Mengjes,2,51:06.8
Lasko,Mesdite,14,51:06.8
Lasko,Mbremje,50,51:06.8
B52,Mengjes,6,51:06.8
B52,Mesdite,47,51:06.8
B52,Mbremje,50,51:06.8
VIPA,Mengjes,21,51:06.8
VIPA,Mesdite,14,51:06.8
VIPA,Mbremje,48,51:06.8
DR GERARD,Mengjes,27,51:06.8
DR GERARD,Mesdite,4,51:06.8
DR GERARD,Mbremje,49,51:06.8
PATOS,Mengjes,17,51:06.8
PATOS,Mesdite,35,51:06.8
PATOS,Mbremje,5,51:06.8
DORITOS,Mengjes,40,51:06.8
DORITOS,Mesdite,44,51:06.8
DORITOS,Mbremje,39,51:06.8
JANA,Mengjes,21,51:06.8
JANA,Mesdite,38,51:06.8
JANA,Mbremje,28,51:06.8
SKOPSKO,Mengjes,31,51:06.8
SKOPSKO,Mesdite,5,51:06.8
SKOPSKO,Mbremje,41,51:06.8
Golden Eagle,Mengjes,41,51:06.8
Golden Eagle,Mesdite,10,51:06.8
Golden Eagle,Mbremje,39,51:06.8
Birra Peja,Mengjes,6,51:06.8
Birra Peja,Mesdite,20,51:06.8
Birra Peja,Mbremje,38,51:06.8
Lasko,Mengjes,13,51:06.8
Lasko,Mesdite,18,51:06.8
Lasko,Mbremje,17,51:06.8
B52,Mengjes,2,51:06.8
B52,Mesdite,49,51:06.8
B52,Mbremje,48,51:06.8
VIPA,Mengjes,19,51:06.8
VIPA,Mesdite,3,51:06.8
VIPA,Mbremje,31,51:06.8
DR GERARD,Mengjes,8,51:06.8
DR GERARD,Mesdite,38,51:06.8
DR GERARD,Mbremje,44,51:06.8
PATOS,Mengjes,2,51:06.8
PATOS,Mesdite,37,51:06.8
PATOS,Mbremje,11,51:06.8
DORITOS,Mengjes,22,51:06.8
DORITOS,Mesdite,17,51:06.8
DORITOS,Mbremje,46,51:06.8
JANA,Mengjes,12,51:06.8
JANA,Mesdite,38,51:06.8
JANA,Mbremje,44,51:06.8
SKOPSKO,Mengjes,33,51:06.8
SKOPSKO,Mesdite,46,51:06.8
SKOPSKO,Mbremje,50,51:06.8
Golden Eagle,Mengjes,8,51:06.8
Golden Eagle,Mesdite,36,51:06.8
Golden Eagle,Mbremje,2,51:06.8
Birra Peja,Mengjes,37,51:06.8
Birra Peja,Mesdite,19,51:06.8
Birra Peja,Mbremje,45,51:06.8
Lasko,Mengjes,7,51:06.8
Lasko,Mesdite,10,51:06.8
Lasko,Mbremje,50,51:06.8
B52,Mengjes,33,51:06.8
B52,Mesdite,20,51:06.8
B52,Mbremje,11,51:06.8
VIPA,Mengjes,18,51:06.8
VIPA,Mesdite,46,51:06.8
VIPA,Mbremje,8,51:06.8
DR GERARD,Mengjes,35,51:06.8
DR GERARD,Mesdite,28,51:06.8
DR GERARD,Mbremje,17,51:06.8
PATOS,Mengjes,3,51:06.8
PATOS,Mesdite,7,51:06.8
PATOS,Mbremje,4,51:06.8
DORITOS,Mengjes,48,51:06.8
DORITOS,Mesdite,31,51:06.8
DORITOS,Mbremje,50,51:06.8
JANA,Mengjes,45,51:06.8
JANA,Mesdite,4,51:06.8
JANA,Mbremje,8,51:06.8
SKOPSKO,Mengjes,24,51:06.8
SKOPSKO,Mesdite,50,51:06.8
SKOPSKO,Mbremje,27,51:06.8
Golden Eagle,Mengjes,17,51:06.8
Golden Eagle,Mesdite,21,51:06.8
Golden Eagle,Mbremje,28,51:06.8
Birra Peja,Mengjes,11,51:06.8
Birra Peja,Mesdite,46,51:06.8
Birra Peja,Mbremje,15,51:06.8
Lasko,Mengjes,10,51:06.8
Lasko,Mesdite,7,51:06.8
Lasko,Mbremje,30,51:06.8
B52,Mengjes,44,51:06.8
B52,Mesdite,18,51:06.8
B52,Mbremje,41,51:06.8
VIPA,Mengjes,15,51:06.8
VIPA,Mesdite,22,51:06.8
VIPA,Mbremje,38,51:06.8
DR GERARD,Mengjes,15,51:06.8
DR GERARD,Mesdite,6,51:06.8
DR GERARD,Mbremje,44,51:06.8
PATOS,Mengjes,3,51:06.8
PATOS,Mesdite,9,51:06.8
PATOS,Mbremje,45,51:06.8
DORITOS,Mengjes,29,51:06.8
DORITOS,Mesdite,40,51:06.8
DORITOS,Mbremje,9,51:06.8
JANA,Mengjes,11,51:06.8
JANA,Mesdite,24,51:06.8
JANA,Mbremje,42,51:06.8
SKOPSKO,Mengjes,19,51:06.8
SKOPSKO,Mesdite,17,51:06.8
SKOPSKO,Mbremje,1,51:06.8
Golden Eagle,Mengjes,34,51:06.8
Golden Eagle,Mesdite,10,51:06.8
Golden Eagle,Mbremje,2,51:06.8
Birra Peja,Mengjes,4,51:06.8
Birra Peja,Mesdite,45,51:06.8
Birra Peja,Mbremje,28,51:06.8
Lasko,Mengjes,45,51:06.8
Lasko,Mesdite,8,51:06.8
Lasko,Mbremje,24,51:06.8
B52,Mengjes,13,51:06.8
B52,Mesdite,32,51:06.8
B52,Mbremje,23,51:06.8
VIPA,Mengjes,29,51:06.8
VIPA,Mesdite,47,51:06.8
VIPA,Mbremje,7,51:06.8
DR GERARD,Mengjes,41,51:06.8
DR GERARD,Mesdite,36,51:06.8
DR GERARD,Mbremje,47,51:06.8
PATOS,Mengjes,26,51:06.8
PATOS,Mesdite,2,51:06.8
PATOS,Mbremje,23,51:06.8
DORITOS,Mengjes,20,51:06.8
DORITOS,Mesdite,22,51:06.8
DORITOS,Mbremje,44,51:06.8
JANA,Mengjes,37,51:06.8
JANA,Mesdite,23,51:06.8
JANA,Mbremje,3,51:06.8
SKOPSKO,Mengjes,12,51:06.8
SKOPSKO,Mesdite,49,51:06.8
SKOPSKO,Mbremje,47,51:06.8
Golden Eagle,Mengjes,11,51:06.8
Golden Eagle,Mesdite,40,51:06.8
Golden Eagle,Mbremje,28,51:06.8
Birra Peja,Mengjes,28,51:06.8
Birra Peja,Mesdite,6,51:06.8
Birra Peja,Mbremje,13,51:06.8
Lasko,Mengjes,23,51:06.8
Lasko,Mesdite,10,51:06.8
Lasko,Mbremje,19,51:06.8
B52,Mengjes,22,51:06.8
B52,Mesdite,19,51:06.8
B52,Mbremje,37,51:06.8
VIPA,Mengjes,12,51:06.8
VIPA,Mesdite,11,51:06.8
VIPA,Mbremje,9,51:06.8
DR GERARD,Mengjes,42,51:06.8
DR GERARD,Mesdite,23,51:06.8
DR GERARD,Mbremje,32,51:06.8
PATOS,Mengjes,27,51:06.8
PATOS,Mesdite,19,51:06.8
PATOS,Mbremje,2,51:06.8
DORITOS,Mengjes,13,51:06.8
DORITOS,Mesdite,31,51:06.8
DORITOS,Mbremje,37,51:06.8
JANA,Mengjes,18,51:06.8
JANA,Mesdite,12,51:06.8
JANA,Mbremje,11,51:06.8
SKOPSKO,Mengjes,9,51:06.8
SKOPSKO,Mesdite,45,51:06.8
SKOPSKO,Mbremje,5,51:06.8
Golden Eagle,Mengjes,31,51:06.8
Golden Eagle,Mesdite,49,51:06.8
Golden Eagle,Mbremje,27,51:06.8
Birra Peja,Mengjes,15,51:06.8
Birra Peja,Mesdite,43,51:06.8
Birra Peja,Mbremje,38,51:06.8
Lasko,Mengjes,1,51:06.8
Lasko,Mesdite,9,51:06.8
Lasko,Mbremje,37,51:06.8
B52,Mengjes,40,51:06.8
B52,Mesdite,33,51:06.8
B52,Mbremje,2,51:06.8
VIPA,Mengjes,50,51:06.8
VIPA,Mesdite,49,51:06.8
VIPA,Mbremje,30,51:06.8
